Name,Interests,Mood,tripadvisor,img_url,Link_ggmap,Tọa độ,Vote,Reviews,Price,From,To,Địa Chỉ,,,,,,,
Chùa Từ Đàm Huế,13,4,,https://thuathienhue.gov.vn/Portals/0/Medias/Nam2022/T8/M_20220803_tudam1.jpg,https://maps.app.goo.gl/cT4vWKRsQKRXhviT8,"16.4517449,107.5815502",4.6,761,0,06.00 am,9.00 pm,"1 Sư Liễu Quán, Trường An, Thành phố Huế, Thừa Thiên Huế",,,,,,,
Chèo Sup,8a,9a,https://www.tripadvisor.com.vn/Attraction_Review-g293926-d27535871-Reviews-Cho_Thue_Sup_Hu_Hue_Smile_Sup-Hue_Thua_Thien_Hue_Province.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/d0/33/13/let-s-get-tanned-with.jpg,https://maps.app.goo.gl/47j7uKiwxqs9PtGt7,"16.4522464,107.5483756",4.1,8,,,,,,,,,,,
Hòn Vượn,8,179,,https://photo-cms-vovworld.zadn.vn/w730/uploaded/vovworld/jcqpivou/2022_03_03/1_yzof.jpg,https://maps.app.goo.gl/Rk2hqF8yimMxRhzc7,"16.4524951,107.4782563",3.1,78,,,,,,,,,,,
Chùa Huyền Không,1358,49a,,https://luhanhvietnam.com.vn/du-lich/vnt_upload/news/09_2020/cong-vao-chua-mang-dam-kien-truc-nhat.jpg,https://maps.app.goo.gl/Ufpv15mWtPrFLMUA7,"16.45267,107.5238774",3.1,538,0,all time,all time,"Hương Hồ, Hương Trà, Thừa Thiên Huế 52000",,,,,,,
Văn Thánh Huế,13,4,,https://statics.vinpearl.com/van-thanh-hue-3_1633252271.jpg,https://maps.app.goo.gl/a3YZtuSoTFM6dnyA6,"16.4526782,107.5364019",4.3,359,0,all time,all time,"FG3Q+3H9, Đường Văn Thánh, Hương Hồ, Hương Trà, Thừa Thiên Huế, Vietnam",,,,,,,
Lan viên cổ tích - Bảo tàng Gốm cổ Sông Hương,2357,2,,https://lanhue.com/wp-content/uploads/2022/06/03.jpg,https://maps.app.goo.gl/CPyd3NGQdVXYohRX7,"16.4526799,107.4765554",4.8,45,120000,8.00 AM,5.00 PM,"120 Nguyễn Phúc Nguyên, Hương Long, Thành phố Huế, Thừa Thiên Huế 530000",,,,,,,
Chùa Thiên Mụ,124589,349,,https://ik.imagekit.io/tvlk/blog/2023/06/chua-thien-mu-1.jpg,https://maps.app.goo.gl/cbAAKwHnasvbCoXZ7,"16.4531082,107.5449069",4.5,14323,0,8.00 am,6.00 pm,"Hương Hòa, Thành phố Huế, Thừa Thiên Huế ",,,,,,,
Chùa Thiên Minh,13,4,,https://static.vinwonders.com/production/chua-thien-minh-1.jpeg,https://maps.app.goo.gl/nng8k1jXbGZwsgwMA,"16.4532094,107.5812423",4.5,41,0,,,"91 Điện Biên Phủ, Trường An, Thành phố Huế, Thừa Thiên Huế",,,,,,,
Bảo tàng Mỹ thuật Cecile Le Pham,27,7,,https://thuathienhue.gov.vn/Portals/0/Medias/Nam2022/T7/bao%20tang%20cecile.jpg,https://maps.app.goo.gl/YFnTUpH5f3Cj2XpS7,"16.4534072,107.5722737",5.0,2,0,8.00 AM/ 2.00PM,12.00 PM/ 6.00 PM,"53 Hàm Nghi, Phước Vĩnh, Thành phố Huế, Thừa Thiên Huế",,,,,,,
Chùa Báo Quốc,13,4,https://www.tripadvisor.com.vn/Attraction_Review-g293926-d13836708-Reviews-Bao_Quoc_Temple-Hue_Thua_Thien_Hue_Province.html,https://statics.vinpearl.com/chua-bao-quoc-2_1633439462.jpg,https://maps.app.goo.gl/gn32TWJE6U1jXVZh8,"16.4540694,107.5796183",4.4,191,0,all time,all time,"17 Bảo Quốc, Phường Đúc, Thành phố Huế, Thừa Thiên Huế",,,,,,,
Chợ Bến Ngự,6,60,,https://thuathienhue.gov.vn/Portals/0/Medias/Nam2022/T7/chobenngu_12_7_2022_15_25_05_100_CH.jpg,https://maps.app.goo.gl/F7uLK7Z42NSBECeT7,"16.4541678,107.5834937",2.1,847,,,,,,,,,,,
Nghệ thuật Trúc chỉ,27,27,,https://thuathienhue.gov.vn/Portals/0/nam%202019/Hieu2019/trucchi2.jpg,https://maps.app.goo.gl/DXSRAAiPWjb2V2yi9,"16.4551459,107.550617",3.1,71,,07:30,17:00,"52 Nguyễn Phúc Nguyên, P, Thành phố Huế, Thừa Thiên Huế 532682",,,,,,,
