Name,Interests,Mood,img_url,Link_ggmap,Tọa độ,Vote,Reviews,Price,From,To,Địa Chỉ,,interest,const_num,,mood,const_num,budget
Suối Bạch Mã,89,19a,,https://maps.app.goo.gl/HcReQpvq7mwbBCt76,,,,,,,,,,,,,,
Alba Thanh Tan Hot Spring,89,19a,,https://maps.app.goo.gl/57LiJsuo4RTB4CMq6,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Chèo Sub,,,,https://maps.app.goo.gl/47j7uKiwxqs9PtGt7,,,,,,,,,,,,,,
,làng phước tích (gốm),https://www.tripadvisor.com/Attraction_Review-g293926-d15581697-Reviews-Lavin_Home-Hue_Thua_Thien_Hue_Province.html,,"hoa giấy, làm gốm, tranh làng sình, sống platform, làm món ăn cung đình",,,,,,,,,,,,,,
"Cinestar(bowling, billiard)",Kong làm,,,"Làm nón, nấu chè",,,,,,,,,,,,,,
Cinestar Huế,"25 Hai Bà Trưng, Vĩnh Ninh, Thành phố Huế, Thừa Thiên Huế ",,,https://maps.app.goo.gl/bTf36dvAqzEokfM69,,,,,,,,,,,,,,
Phố đi bộ Hai Bà Trưng,,"16.4603374,107.589481",,https://maps.app.goo.gl/QKJptwTcBQthb9b6A,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
