osmid,y,x,street_count,highway,ref,geometry
420026428,16.4757183,107.6005792,4,,,POINT (107.6005792 16.4757183)
420026429,16.4746985,107.6005108,3,,,POINT (107.6005108 16.4746985)
420026430,16.4785947,107.6003748,4,,,POINT (107.6003748 16.4785947)
420026435,16.4745231,107.6026652,3,,,POINT (107.6026652 16.4745231)
420026436,16.4747606,107.6033022,4,,,POINT (107.6033022 16.4747606)
420026438,16.4758453,107.6025632,3,,,POINT (107.6025632 16.4758453)
420026459,16.4788449,107.5970828,4,,,POINT (107.5970828 16.4788449)
420026460,16.4786796,107.5978484,3,,,POINT (107.5978484 16.4786796)
420026462,16.4786021,107.5984807,3,,,POINT (107.5984807 16.4786021)
420026465,16.4786541,107.6016761,4,,,POINT (107.6016761 16.4786541)
420026466,16.4787048,107.6030184,3,,,POINT (107.6030184 16.4787048)
420026481,16.4622592,107.5980874,3,,,POINT (107.5980874 16.4622592)
420026499,16.4814877,107.5982201,3,,,POINT (107.5982201 16.4814877)
420026504,16.4831858,107.5996252,4,,,POINT (107.5996252 16.4831858)
420026518,16.4923288,107.6004713,3,,,POINT (107.6004713 16.4923288)
420026521,16.492459,107.6023694,4,,,POINT (107.6023694 16.492459)
420026522,16.4940733,107.5970469,3,,,POINT (107.5970469 16.4940733)
420026526,16.4815015,107.5992866,1,,,POINT (107.5992866 16.4815015)
420026529,16.4819491,107.5960372,4,,,POINT (107.5960372 16.4819491)
420026561,16.450544,107.5870125,3,,,POINT (107.5870125 16.450544)
420026562,16.4523391,107.587143,3,,,POINT (107.587143 16.4523391)
420026563,16.4530545,107.5868467,4,,,POINT (107.5868467 16.4530545)
420026564,16.4535011,107.5874629,3,,,POINT (107.5874629 16.4535011)
420026599,16.4449322,107.6008625,3,,,POINT (107.6008625 16.4449322)
420026615,16.4592669,107.5970706,3,,,POINT (107.5970706 16.4592669)
420026616,16.4584503,107.597448,3,,,POINT (107.597448 16.4584503)
420026618,16.4601825,107.5959969,3,,,POINT (107.5959969 16.4601825)
420026780,16.4590732,107.6088691,3,,,POINT (107.6088691 16.4590732)
420026781,16.4590872,107.607486,4,,,POINT (107.607486 16.4590872)
