osmid,y,x,street_count,ref,highway,geometry
7742635361,16.6286705,107.5236078,3,,,POINT (107.5236078 16.6286705)
7742635369,16.6339598,107.5264643,1,,,POINT (107.5264643 16.6339598)
7742635380,16.6312083,107.5301177,3,,,POINT (107.5301177 16.6312083)
7742635381,16.6321682,107.5297676,1,,,POINT (107.5297676 16.6321682)
7742635383,16.6309565,107.5297542,3,,,POINT (107.5297542 16.6309565)
7742635385,16.6312777,107.529545,3,,,POINT (107.529545 16.6312777)
7742635390,16.6236344,107.5243441,3,,,POINT (107.5243441 16.6236344)
7742635394,16.6247615,107.5247878,1,,,POINT (107.5247878 16.6247615)
7742635396,16.6237632,107.5229305,1,,,POINT (107.5229305 16.6237632)
7742635424,16.6385512,107.5207579,3,,,POINT (107.5207579 16.6385512)
7742635427,16.6371415,107.5227978,3,,,POINT (107.5227978 16.6371415)
7742635438,16.6375007,107.5200867,4,,,POINT (107.5200867 16.6375007)
7742635440,16.6381425,107.5204816,3,,,POINT (107.5204816 16.6381425)
7742635442,16.6376176,107.5201054,3,,,POINT (107.5201054 16.6376176)
7742635448,16.6371386,107.5194919,3,,,POINT (107.5194919 16.6371386)
7742635454,16.6382215,107.5192712,3,,,POINT (107.5192712 16.6382215)
7743147611,16.5531121,107.4949256,3,,,POINT (107.4949256 16.5531121)
7743147615,16.5362964,107.5072206,3,,,POINT (107.5072206 16.5362964)
7743147620,16.5351812,107.503608,3,,,POINT (107.503608 16.5351812)
7743147622,16.5350371,107.5028261,4,,,POINT (107.5028261 16.5350371)
7743147629,16.533965,107.4981952,3,,,POINT (107.4981952 16.533965)
7743147631,16.5341474,107.498084,3,,,POINT (107.498084 16.5341474)
7743147632,16.5346126,107.4973638,4,,,POINT (107.4973638 16.5346126)
7743147644,16.5381382,107.4950946,3,,,POINT (107.4950946 16.5381382)
7743147645,16.5384005,107.4950195,3,,,POINT (107.4950195 16.5384005)
7743147647,16.5391153,107.4947781,3,,,POINT (107.4947781 16.5391153)
7743147648,16.5397736,107.4948049,3,,,POINT (107.4948049 16.5397736)
7743147651,16.5413575,107.4949444,4,,,POINT (107.4949444 16.5413575)
7743147653,16.5473256,107.4923318,3,,,POINT (107.4923318 16.5473256)
7743147657,16.5507995,107.4923291,4,,,POINT (107.4923291 16.5507995)
7743147666,16.5367883,107.5027926,3,,,POINT (107.5027926 16.5367883)
7743147667,16.5367651,107.5030126,3,,,POINT (107.5030126 16.5367651)
7743147668,16.536616,107.5034632,3,,,POINT (107.5034632 16.536616)
